Município,Frequência
315310 Presidente Bernardes,80
315320 Presidente Juscelino,51
315330 Presidente Kubitschek,29
315340 Presidente Olegário,245
315360 Prudente de Morais,131
315370 Quartel Geral,40
315380 Queluzito,32
315390 Raposos,174
315400 Raul Soares,374
315410 Recreio,194
315415 Reduto,82
315420 Resende Costa,201
315430 Resplendor,311
315440 Ressaquinha,66
315445 Riachinho,87
315450 Riacho dos Machados,92
315460 Ribeirão das Neves,3.333
315470 Ribeirão Vermelho,67
315480 Rio Acima,100
315490 Rio Casca,220
315510 Rio do Prado,62
315500 Rio Doce,33
315520 Rio Espera,87
315530 Rio Manso,53
315540 Rio Novo,101
315550 Rio Paranaíba,182
315560 Rio Pardo de Minas,291
315570 Rio Piracicaba,145
315580 Rio Pomba,257
315590 Rio Preto,41
315600 Rio Vermelho,120
315610 Ritápolis,71
315620 Rochedo de Minas,36
315630 Rodeiro,118
315640 Romaria,61
315645 Rosário da Limeira,68
315650 Rubelita,89
315660 Rubim,156
315670 Sabará,1.456
315680 Sabinópolis,159
315690 Sacramento,337
315700 Salinas,586
315710 Salto da Divisa,92
315720 Santa Bárbara,356
315725 Santa Bárbara do Leste,123
315727 Santa Bárbara do Monte Verde,44
315730 Santa Bárbara do Tugúrio,46
315733 Santa Cruz de Minas,127
315737 Santa Cruz de Salinas,53
315740 Santa Cruz do Escalvado,75
315750 Santa Efigênia de Minas,74
315760 Santa Fé de Minas,45
315765 Santa Helena de Minas,80
315770 Santa Juliana,180
315780 Santa Luzia,2.628
315790 Santa Margarida,202
315800 Santa Maria de Itabira,154
315810 Santa Maria do Salto,60
315820 Santa Maria do Suaçuí,175
315920 Santa Rita de Caldas,162
315940 Santa Rita de Ibitipoca,37
315930 Santa Rita de Jacutinga,91
315935 Santa Rita de Minas,100
315950 Santa Rita do Itueto,70
315960 Santa Rita do Sapucaí,478
315970 Santa Rosa da Serra,38
315980 Santa Vitória,295
315830 Santana da Vargem,79
315840 Santana de Cataguases,61
315850 Santana de Pirapama,101
315860 Santana do Deserto,62
315870 Santana do Garambéu,29
315880 Santana do Jacaré,108
315890 Santana do Manhuaçu,101
315895 Santana do Paraíso,445
315900 Santana do Riacho,51
315910 Santana dos Montes,35
315990 Santo Antônio do Amparo,245
316000 Santo Antônio do Aventureiro,65
316010 Santo Antônio do Grama,75
316020 Santo Antônio do Itambé,41
316030 Santo Antônio do Jacinto,132
316040 Santo Antônio do Monte,348
316045 Santo Antônio do Retiro,70
316050 Santo Antônio do Rio Abaixo,24
316060 Santo Hipólito,43
316070 Santos Dumont,836
316080 São Bento Abade,56
316090 São Brás do Suaçuí,58
316095 São Domingos das Dores,60
316100 São Domingos do Prata,263
316105 São Félix de Minas,40
316110 São Francisco,698
316120 São Francisco de Paula,109
316130 São Francisco de Sales,94
316140 São Francisco do Glória,84
316150 São Geraldo,145
316160 São Geraldo da Piedade,71
316165 São Geraldo do Baixio,57
316170 São Gonçalo do Abaeté,73
316180 São Gonçalo do Pará,132
316190 São Gonçalo do Rio Abaixo,143
312550 São Gonçalo do Rio Preto,48
316200 São Gonçalo do Sapucaí,376
316210 São Gotardo,441
316220 São João Batista do Glória,103
316225 São João da Lagoa,51
316230 São João da Mata,41
316240 São João da Ponte,313
316245 São João das Missões,121
316250 São João del Rei,1.491
316255 São João do Manhuaçu,124
316257 São João do Manteninha,72
316260 São João do Oriente,141
316265 São João do Pacuí,43
316270 São João do Paraíso,250
316280 São João Evangelista,251
316290 São João Nepomuceno,404
316292 São Joaquim de Bicas,374
316294 São José da Barra,73
316295 São José da Lapa,245
316300 São José da Safira,51
316310 São José da Varginha,35
316320 São José do Alegre,69
316330 São José do Divino,51
316340 São José do Goiabal,89
316350 São José do Jacuri,72
316360 São José do Mantimento,32
316370 São Lourenço,784
316380 São Miguel do Anta,73
316390 São Pedro da União,92
316410 São Pedro do Suaçuí,83
316400 São Pedro dos Ferros,136
316420 São Romão,97
316430 São Roque de Minas,80
316440 São Sebastião da Bela Vista,86
316443 São Sebastião da Vargem Alegre,38
316447 São Sebastião do Anta,72
316450 São Sebastião do Maranhão,95
316460 São Sebastião do Oeste,75
316470 São Sebastião do Paraíso,1.177
316480 São Sebastião do Rio Preto,21
316490 São Sebastião do Rio Verde,27
316520 São Thomé das Letras,70
316500 São Tiago,143
316510 São Tomás de Aquino,104
316530 São Vicente de Minas,90
316540 Sapucaí-Mirim,68
316550 Sardoá,67
316553 Sarzedo,291
316556 Sem-Peixe,45
316557 Senador Amaral,69
316560 Senador Cortes,31
316570 Senador Firmino,107
316580 Senador José Bento,37
316590 Senador Modestino Gonçalves,51
316600 Senhora de Oliveira,87
316610 Senhora do Porto,42
316620 Senhora dos Remédios,152
316630 Sericita,72
316640 Seritinga,28
316650 Serra Azul de Minas,28
316660 Serra da Saudade,12
316680 Serra do Salitre,138
316670 Serra dos Aimorés,112
316690 Serrania,143
316695 Serranópolis de Minas,53
316700 Serranos,28
316710 Serro,259
316720 Sete Lagoas,2.958
316555 Setubinha,92
316730 Silveirânia,24
316740 Silvianópolis,86
316750 Simão Pereira,42
316760 Simonésia,262
316770 Sobrália,81
316780 Soledade de Minas,84
316790 Tabuleiro,78
316800 Taiobeiras,364
316805 Taparuba,65
316810 Tapira,40
316820 Tapiraí,18
316830 Taquaraçu de Minas,34
316840 Tarumirim,256
316850 Teixeiras,170
316860 Teófilo Otoni,2.117
316870 Timóteo,1.197
316880 Tiradentes,97
316890 Tiros,108
316900 Tocantins,258
316905 Tocos do Moji,69
316910 Toledo,108
316920 Tombos,174
316930 Três Corações,1.123
316935 Três Marias,337
316940 Três Pontas,847
316950 Tumiritinga,107
316960 Tupaciguara,478
316970 Turmalina,154
316980 Turvolândia,66
316990 Ubá,1.459
317000 Ubaí,151
317005 Ubaporanga,184
317010 Uberaba,5.159
317020 Uberlândia,9.567
317030 Umburatiba,41
317040 Unaí,1.023
317043 União de Minas,53
317047 Uruana de Minas,42
317050 Urucânia,150
317052 Urucuia,79
317057 Vargem Alegre,101
317060 Vargem Bonita,30
317065 Vargem Grande do Rio Pardo,43
317070 Varginha,1.737
317075 Varjão de Minas,69
317080 Várzea da Palma,471
317090 Varzelândia,283
317100 Vazante,300
317103 Verdelândia,80
317107 Veredinha,42
317110 Veríssimo,41
317115 Vermelho Novo,77
317120 Vespasiano,1.147
317130 Viçosa,860
317140 Vieiras,61
317160 Virgem da Lapa,143
317170 Virgínia,154
317180 Virginópolis,138
317190 Virgolândia,77
317200 Visconde do Rio Branco,637
317210 Volta Grande,82
317220 Wenceslau Braz,39
310000 Município ignorado - MG,229
